,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,v1005504,3920.0,490.0,,3920.0,33.7934699,-84.3805624,Atlanta,GA,US,5,5.0,1.0,4,https://www.vrbo.com/1005504?unitId=1553452,True
0,v1305333,972.0,121.5,,972.0,33.78823246,-84.4006951,Atlanta,GA,US,8,4.5,1.0,1,https://www.vrbo.com/1305333?unitId=1856483,True
0,4048601,1141.71,142.71,,1141.71,33.7265063,-84.3582552,Atlanta,GA,US,93,4.9569893,1.0,3,https://www.homeaway.com/vacation-rental/p4048601?uni_id=4442026,True
0,v1151657,792.0,99.0,,792.0,33.76478869,-84.34210339,Atlanta,GA,US,15,4.9333334,1.0,2,https://www.vrbo.com/1151657?unitId=1699894,True
0,4631874,1720.08,215.01,,1720.08,33.785087,-84.38054,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4631874?uni_id=5385297,True
0,4847647,6480.0,810.0,,6480.0,33.76327672,-84.38180674,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p4847647?uni_id=5852711,True
0,v646478,1628.57,203.57,,1628.57,33.783738,-84.358838,Atlanta,GA,US,30,4.9,1.0,2,https://www.vrbo.com/646478?unitId=1194259,True
0,4477888,1300.0,162.5,,1300.0,33.7708439,-84.3629247,Atlanta,GA,US,8,4.75,2.0,2,https://www.homeaway.com/vacation-rental/p4477888?uni_id=5066240,True
0,v1225837,836.0,104.5,,836.0,33.727686,-84.372596,Atlanta,GA,US,8,4.625,1.0,2,https://www.vrbo.com/1225837?unitId=1776725,True
0,4476165,1272.0,159.0,,1272.0,33.80135497,-84.37296136,Atlanta,GA,US,19,4.8421054,2.0,2,https://www.homeaway.com/vacation-rental/p4476165?uni_id=5064356,True
0,4488213,6815.2,851.9,,6815.2,33.8178569,-84.384486,Atlanta,GA,US,22,4.7272725,3.0,5,https://www.homeaway.com/vacation-rental/p4488213?uni_id=5079762,True
0,v1245916,1600.0,200.0,,1600.0,33.7417056,-84.3700627,Atlanta,GA,US,11,4.909091,4.0,4,https://www.vrbo.com/1245916?unitId=1796860,True
0,v323480,1192.0,149.0,,1192.0,33.7625618,-84.38787842,Atlanta,GA,US,91,4.5116277,1.0,1,https://www.vrbo.com/323480?unitId=323480,True
0,v678184,1414.29,176.79,,1414.29,33.76256,-84.387878,Atlanta,GA,US,3,4.0,2.0,2,https://www.vrbo.com/678184?unitId=1226122,True
