,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence,CrimeScore
0,v1171458,722,90.25,,722,33.72695539,-84.37063495,Atlanta,GA,US,15,4.8,1,1,https://www.vrbo.com/1171458?unitId=1722187,TRUE,3.421735052
0,v1102693,632,79,,632,33.7145051,-84.4014254,Atlanta,GA,US,5,4.6,1,2,https://www.vrbo.com/1102693?unitId=1650854,TRUE,7.796355796
0,v1053657,1152,144,,1152,33.76320882,-84.3907438,Atlanta,GA,US,48,4.75,1,1,https://www.vrbo.com/1053657?unitId=1601781,TRUE,29.23873073
0,v1005504,3920,490,,3920,33.7934699,-84.3805624,Atlanta,GA,US,5,5,1,4,https://www.vrbo.com/1005504?unitId=1553452,TRUE,5.874475202
0,v1305333,972,121.5,,972,33.78823246,-84.4006951,Atlanta,GA,US,8,4.5,1,1,https://www.vrbo.com/1305333?unitId=1856483,TRUE,32.8818147
0,4048601,1141.71,142.71,,1141.71,33.7265063,-84.3582552,Atlanta,GA,US,93,4.9569893,1,3,https://www.homeaway.com/vacation-rental/p4048601?uni_id=4442026,TRUE,5.743977431
0,v1151657,792,99,,792,33.76478869,-84.34210339,Atlanta,GA,US,15,4.9333334,1,2,https://www.vrbo.com/1151657?unitId=1699894,TRUE,8.486678272
0,4631874,1720.08,215.01,,1720.08,33.785087,-84.38054,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4631874?uni_id=5385297,TRUE,23.17813254
0,4847647,6480,810,,6480,33.76327672,-84.38180674,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4847647?uni_id=5852711,TRUE,25.19471265
0,v646478,1628.57,203.57,,1628.57,33.783738,-84.358838,Atlanta,GA,US,30,4.9,1,2,https://www.vrbo.com/646478?unitId=1194259,TRUE,0.501926422
0,4477888,1300,162.5,,1300,33.7708439,-84.3629247,Atlanta,GA,US,8,4.75,2,2,https://www.homeaway.com/vacation-rental/p4477888?uni_id=5066240,TRUE,5.57739519
0,v1225837,836,104.5,,836,33.727686,-84.372596,Atlanta,GA,US,8,4.625,1,2,https://www.vrbo.com/1225837?unitId=1776725,TRUE,5.817209868
0,4476165,1272,159,,1272,33.80135497,-84.37296136,Atlanta,GA,US,19,4.8421054,2,2,https://www.homeaway.com/vacation-rental/p4476165?uni_id=5064356,TRUE,6.58253935
0,4488213,6815.2,851.9,,6815.2,33.8178569,-84.384486,Atlanta,GA,US,22,4.7272725,3,5,https://www.homeaway.com/vacation-rental/p4488213?uni_id=5079762,TRUE,4.999952171
0,v1245916,1600,200,,1600,33.7417056,-84.3700627,Atlanta,GA,US,11,4.909091,4,4,https://www.vrbo.com/1245916?unitId=1796860,TRUE,11.45698832
0,v323480,1192,149,,1192,33.7625618,-84.38787842,Atlanta,GA,US,91,4.5116277,1,1,https://www.vrbo.com/323480?unitId=323480,TRUE,76.97140024
0,v678184,1414.29,176.79,,1414.29,33.76256,-84.387878,Atlanta,GA,US,3,4,2,2,https://www.vrbo.com/678184?unitId=1226122,TRUE,76.97140024
0,v667450,628.9,78.61,,628.9,33.76104232,-84.32890846,Atlanta,GA,US,36,4.7222223,1,1,https://www.vrbo.com/667450?unitId=1215376,TRUE,4.864305881
0,v418071,664.97,83.12,,664.97,33.74529814,-84.38959938,Atlanta,GA,US,40,4.625,1,1,https://www.vrbo.com/418071?unitId=1001118,TRUE,4.367972947
0,4989606,1500,187.5,,1500,33.73535069,-84.46209976,Atlanta,GA,US,2,5,2,3,https://www.homeaway.com/vacation-rental/p4989606?uni_id=6225883,TRUE,4.684691796
0,4366453,1141.76,142.72,,1141.76,33.7725223,-84.3659676,Atlanta,GA,US,4,5,1,1,https://www.homeaway.com/vacation-rental/p4366453?uni_id=4780972,TRUE,31.7310089
0,v731455,1581,197.63,,1581,33.821442,-84.413481,Atlanta,GA,US,60,4.5833335,2,3,https://www.vrbo.com/731455?unitId=1279393,TRUE,3.890542445
0,4535601,952.16,119.02,,952.16,33.76680679,-84.37226329,Atlanta,GA,US,8,4.375,1,1,https://www.homeaway.com/vacation-rental/p4535601?uni_id=5139784,TRUE,15.49919634
0,4702526,2480,310,,2480,33.741399,-84.3824528,Atlanta,GA,US,32,4.71875,3,5,https://www.homeaway.com/vacation-rental/p4702526?uni_id=5666835,TRUE,7.975272787
0,v1081900,928.8,116.1,,928.8,33.73646095,-84.37734314,Atlanta,GA,US,28,5,1,1,https://www.vrbo.com/1081900?unitId=1630058,TRUE,7.039370589
0,v1289623,3400,425,,3400,33.8036274,-84.3903217,Atlanta,GA,US,0,0,2,3,https://www.vrbo.com/1289623?unitId=1840764,TRUE,14.36764467
0,v1189296,617.1,77.14,,617.1,33.765721,-84.373061,Atlanta,GA,US,27,4.851852,1,1,https://www.vrbo.com/1189296?unitId=1740054,TRUE,18.40404999
0,v833141,1428.64,178.58,,1428.64,33.7644467,-84.3488902,Atlanta,GA,US,4,4.75,1,2,https://www.vrbo.com/833141?unitId=1381080,TRUE,29.88968994
0,4095077,2304,288,,2304,33.772159,-84.357757,Atlanta,GA,US,13,4.8461537,2,3,https://www.homeaway.com/vacation-rental/p4095077?uni_id=4493253,TRUE,8.749030299
0,v1224938,1152,144,,1152,33.7729127,-84.3809948,Atlanta,GA,US,13,4.923077,1,1,https://www.vrbo.com/1224938?unitId=1775825,TRUE,40.85505585
0,v674089,694.8,86.85,,694.8,33.777062,-84.353389,Atlanta,GA,US,37,4.6216216,1,1,https://www.vrbo.com/674089?unitId=1222027,TRUE,7.788066088
0,v568425,1028.57,128.57,,1028.57,33.73831,-84.364194,Atlanta,GA,US,80,4.925,2,2,https://www.vrbo.com/568425?unitId=1115742,TRUE,3.995272493
0,v811507,1055.76,131.97,,1055.76,33.7625418,-84.3878736,Atlanta,GA,US,15,4.3333335,1,1,https://www.vrbo.com/811507?unitId=1359445,TRUE,79.75888752
0,v813046,742.86,92.86,,742.86,33.7769253,-84.3648418,Atlanta,GA,US,28,4.892857,1,1,https://www.vrbo.com/813046?unitId=1360984,TRUE,17.9400421
0,v867522,2850,356.25,,2850,33.7675533,-84.3435948,Atlanta,GA,US,18,4.888889,2,3,https://www.vrbo.com/867522?unitId=1415461,TRUE,8.064261286
0,v895856,2500,312.5,,2500,33.7615227,-84.3824794,Atlanta,GA,US,29,4.413793,2,2,https://www.vrbo.com/895856?unitId=1443797,TRUE,41.85135121
0,4470003,1963.25,245.41,,1963.25,33.77443912,-84.37395573,Atlanta,GA,US,3,2.6666667,2,4,https://www.homeaway.com/vacation-rental/p4470003?uni_id=5057832,TRUE,17.03166445
0,v615424,1714.29,214.29,,1714.29,33.83954263,-84.3798052,Atlanta,GA,US,17,4.6875,2,3,https://www.vrbo.com/615424?unitId=1162741,TRUE,36.22005039
0,4353210,1912,239,,1912,33.73835566,-84.36517236,Atlanta,GA,US,4,4.75,2,3,https://www.homeaway.com/vacation-rental/p4353210?uni_id=4766795,TRUE,8.079804965
0,4360925,1080.08,135.01,,1080.08,33.7725223,-84.3659676,Atlanta,GA,US,4,5,1,1,https://www.homeaway.com/vacation-rental/p4360925?uni_id=4775075,TRUE,31.7310089
0,v685049,1135.72,141.97,,1135.72,33.76234593,-84.38777071,Atlanta,GA,US,20,4.45,1,1,https://www.vrbo.com/685049?unitId=1232987,TRUE,80.45384333
0,4330860,2000,250,,2000,33.766948,-84.368411,Atlanta,GA,US,9,5,2,3,https://www.homeaway.com/vacation-rental/p4330860?uni_id=4742398,TRUE,8.041980531
0,v1251808,850.25,106.28,,850.25,33.84499597,-84.36823109,Atlanta,GA,US,6,4.6666665,1,1,https://www.vrbo.com/1251808?unitId=1802766,TRUE,17.62462022
0,4944431,1512,189,,1512,33.78303516,-84.3857386,Atlanta,GA,US,1,5,1,1,https://www.homeaway.com/vacation-rental/p4944431?uni_id=6123386,TRUE,27.4799741
0,v1227733,3840,480,,3840,33.7879002,-84.3609255,Atlanta,GA,US,10,4.8,3,3,https://www.vrbo.com/1227733?unitId=1778626,TRUE,4.008979183
